Temp,한국어,영어,영어 검수
15005,나는 네가 한국 언어를 배워서 한국어로 대화했으면 좋겠어.,I want you to learn Korean and talk with me in Korean.,I want you to learn Korean so that we can talk to each other in Korean.
15006,나는 대략 한 시간 정도 이 창고를 돌아 보기를 원합니다.,I want to look around this warehouse for about an hour.,I want to look around this warehouse for about an hour.
15007,때를 미는 한국의 목욕법을 체험해보고 싶은데 가능할까요?,"I want to experience Korean skin peeling, but would it be possible?","I want to experience a Korean skin peeling bath, but would it be possible?"
15008,우리들 또한 당신들과 함께 한다면 큰 영광일 것입니다.,It will be truly honored for us to work with you.,It will be truly honored for us to work with you.
15016,나는 네가 한국의 감탄사를 사용한다는 말에 놀랐다.,I was surprised that you used Korea's exclamation.,I was surprised to hear that you are using Korean exclamation.
15017,그때 어리숙한 영어실력으로 혹시나 주문을 잘못할까봐 걱정했었다.,I was worried that you would make a mistake when you order because of your incomplete English ability.,"At that time, I was worried that I might make a wrong order with my poor English skills."
15022,너랑 나랑 한국 식품 인터넷 사이트 하나 만들자.,Let's make a Korean food website you and me together.,"Let's make a Korean food website together, you and me."
15024,만약 네가 한국에 오면 막걸리를 많이 사 줄게.,I will buy you a lot of Makgeolli when you come to Korea.,I will buy you a lot of Makgeolli when you come to Korea.
15026,나는 네가 한국에 오는 첫 번째 이유가 나였으면 좋겠어.,I want to be the first reason that you want to come to Korea.,I want to be the first reason that you want to come to Korea.
15040,당신이 코멘트한 것처럼 코멘트가 달린 문서를 내게 주십시오.,Give me the document with comments as you commented.,Give me the document with comments as you have commented.
15051,한국 오면 한국 휴대 전화기 번호는 꼭 가르쳐 주세요.,You have to tell me your number if you come to Korea.,Please tell me your Korean phone number when you come to Korea.
15052,내가 언제 한 번 악플러들 싹 다 고소할 거야.,"Probably, I'm going to sue every cyberbully sometime.",I will sue all the online haters someday.
15055,돈을 내고 한복을 대여하여 스티커 사진도 찍으실 수 있습니다.,You can also take sticker pictures if you lend some Hanboks.,You can also take sticker pictures when you lend Hanbok.
15062,너는 그럴듯한 이유를 대고 나에게 돈을 요구했었다.,You asked me to give you money by giving some plausible reasons.,You asked me for money giving me some plausible reasons.
15063,"직접 로스팅한 원두로 만든 커피, 브런치를 즐길 수 있다.",You can enjoy house roasted coffee and brunch in here.,You can enjoy house-roasted coffee and brunch in here.
15088,경기 시작 한 시간 전까지는 오셔야 하는데 가능하신가요?,Would it be possible if you had to come one hour before starting the compitition?,Would it be possible for you to come an hour earlier before the game starts?
15102,이후 그는 한국에 와서 국회 의원으로 활동을 했어요.,"After that, he came to Korea and worked as a congressman.","After that, he came to Korea and worked as a congressman."
15109,"형의 꿈 또한 비행기 조종사라는 것을 알고난 후에, 형과 같이 공부하기로 결정했어요.","After I found out that my brother's dream was also a pilot,","After I found out that my brother's dream was also a pilot, I decided to study with him.  "
15110,나는 그가 한 번만 더 훈련 받으면 될 것으로 생각해요.,I think it will be enough for him to get one more time of training.,I think he will only need one more training.
15122,근데 너는 한국과 계약을 하지 않아서 송금이 안된다고 했어.,But they said that they didn't transfer the money because you didn't make a contract with Korea.,But you said that you can't send money because you didn't make a contract with Korea.
15129,나는 조금 더 철저한 직원교육이 필요하다고 생각합니다.,I think the employees need to have a little stricter training.,I think the employees need to have a little more strict training.
15130,우리 모두 한국 전통 놀이에 대해서 많은 관심을 가집시다.,Let's get interested in Korean traditional games.,Let's all have more interest in Korean traditional games.
15131,제가 이야기한 것이 인정이 되어 기간을 조율하는 줄 알았습니다.,"I thought what I said was accepted, and we are adjusting the period.","I thought what I said was accepted, and we are adjusting the period."
15141,나는 네가 한국어를 정말 열심히 배운다고 생각해.,I think you really study Korean hard.,I think you study Korean really hard.
15142,나는 당신이 한국 문화에 대해서 꽤 알고 있다고 생각합니다.,I think you know quite well about Korean culture.,I think you know quite well about Korean culture.
15146,또한 내가 한국 있는 동안 그녀가 나를 도와야 합니다.,"Also, she should help me while I am in Korea.","Also, she has to help me while I am in Korea."
15147,"성지 순례 한번 가야 되는데, 나는 메카나 무슬림이 되고 싶어.","I should visit the Holyland sometime, well I want to be a Meca or a Muslim.","I should visit the Holy land sometime, well I want to be a Meca or a Muslim."
15148,나는 내일 한국에 가는 사람들에게 자료를 만들어 줘야 해요.,I should work on some materials for people who are going to Korea tomorrow.,I have to work on some materials for people who are going to Korea tomorrow.
15154,또한 같이 한복도 입고 사진도 찍으며 문화를 알리고 싶습니다.,"Furthermore, I want introduce culture by wearing Hanbok together.","Furthermore, I want to introduce culture by wearing Hanbok and taking pictures together."
15162,또한 지금 한국 사업도 상태가 안 좋은 것 같아.,"Moreoever, the current situation of Korean companies seems to be bad.","Moreover, business in Korea seems to be in bad shape right now."
15167,나도 네가 한국어 공부하는 거 많이 도와 줄게.,I will also help you to study Korean.,I will help you studying Korean as well.
15175,"네, 당신이 나와 한국에 대해 좋은 기억만 가졌으면 좋겠어요.","Yes, I hope you have good memories about me and South Korea.","Yes, I want you to have fond memories only about me and Korea."
15190,그는 아마 한국 쪽에서 분실되었다고 거짓말을 하려고 하는 것 같아요.,He is probably trying to lie that it has lost in Korea.,He is probably trying to lie that it has lost in Korea.
15197,오늘 로그인한 모두에게 다음과 같은 선물을 드립니다.,For everyone that logs in today will receive the following gift.,Everyone that logs in today will receive the following gift.
15198,나는 다른 한 조각의 케잌을 더 달라고 엄마에게 요구했어요.,I aksed my mom to give me another piece of cake.,I asked my mom to give me another piece of cake.
15199,나는 내가 한쪽으로 치우친 눈과 귀를 가지고 있었다고 깨달았습니다.,I realized that I have one-sided eyes and ears.,I realized that I had one-sided eyes and ears.
15201,처음 제가 한 일은 청소구역을 알아보고 학생을 배치한 일입니다.,First thing that I did was to look through cleaning districts and to displace the students.,The first thing I did was looking through cleaning districts and assigning them to the students.
15211,저는 지금 한국 서울에서 금융업에 종사하고 있습니다.,"Currently, I am engaged in a financial business in Seoul, South Korea.","I am currently engaged in a financial business in Seoul, South Korea."
15212,직접 로스팅한 커피를 즐길 수 있는 조용한 분위기의 카페가 있습니다.,A quiet cafe where you can enjoy hand roasted coffee,There is a quiet cafe where you can enjoy hand-roasted coffee.
15213,저는 불필요한 자원을 차지한 프로그램을 그만두었습니다.,I stopped the program that occupied unnecessary resources.,I quitted the program that took up unnecessary resources.
15215,저는 친구들과 한국 게임도 하고 필리핀 게임도 했어요.,I played Korea games and phillippine games with my friends.,I played Korean games and Filipino games with my friends.
15216,나는 어제 한강공원에서 강아지와 원반 던지기를 했어요.,I played the discus with my puppy at the Han River yesterday.,I played Frisbee with my puppy in Han River park yesterday.
15217,나는 이미 한국이고 한국에 돌아와서 페이스북에 올린 거에요.,"I posted it on facebook when I got back to Korea, and now I am already in Korea.",I am already in Korea and I posted it on Facebook when I got back to Korea.
15219,나의 카드 한도가 부족하여 현금으로 지급을 했어요.,I paid by cash because my credit card limit was insufficient.,I paid by cash because my credit card was maxed out.
15221,저는 버스 한두 정거장은 걸어다니며 건강한 음식을 먹습니다.,I pass several bus stops by walking and eat healthy food.,I pass several bus stops by walking and eat healthy food.
15237,내가 사는 한국에서 그 곳까지는 스물 여섯 시간이 걸린다.,"From where I live, Korea, it takes twenty six hours to get there.","From where I live, Korea, it takes twenty-six hours to get there."
15257,한국 사람 한 명이 오늘 같이 동행해도 되나요?,Can a korean accompany us today?,Can I accompany a Korean today?
15258,혹시 당신 한국어를 읽을 줄 아는 거 아니에요?,Can you read Korean by any chance?,"You don't happen to know how to read Korean, do you?"
15259,단지 싫어한다는 이유만으로 그 사람한테 상처 주지 말아요.,Don't hurt a parson just because you hate the person.,Don't hurt people just because you do not like them.
15265,너의 지금 한 달 수입이 얼마인지 말해줄 수 있니?,Can you tell me right now how much your income is for one month?,Could you tell me how much you earn a month right now?
15266,나는 최소 한 달의 후임자 인수인계 기간이 필요합니다.,I need at least one month of the handover period for a successor.,I need at least a month of transition period for my successor.
15269,위에 내가 한국어로 적은 거 이해할 수 있나요?,Can you understand what I wrote in Korean right up there?,Can you understand what I wrote in Korean right up there?
15278,나는 남산 한옥 마을에서 전통 인형을 만들었다.,I made a traditional doll at Namsan Hanok Village.,I made a traditional doll at #Namsan Hanok Village#.
15279,오늘 전통 한국 음악을 소개하게 되어서 정말 기쁩니다.,I'm very happy to introduce a traditional Korean music today.,I'm pleased to introduce traditional Korean music today.
15292,만약 네가 한국어를 배우고 싶어 한다면 내가 가르쳐 줄게.,I'm going to teach you if you want to learn Korean.,I can teach you if you want to learn Korean.
15293,나는 일반 한국인들에 비해 매운 음식을 잘 먹지 못 해요.,I'm not good at eating spicy food compared to other ordinary Koreans.,I'm not good at eating spicy food compared to ordinary Koreans.
15294,오늘 저는 한국의 전통술에 대해서 소개해 드리려고 합니다.,I'm going to introduce Korean traditional alcoholic beverage today.,Today I'd like to introduce Korean traditional alcoholic drinks.
15296,여자들의 한복은 크게 저고리와 치마로 나뉘어 있습니다.,Women's Hanbok is broadly divided into Jeogori and skirt.,Women's Hanbok is broadly divided into #Jeogori# and skirt.
15303,나는 지금 한국 친구를 만나서 공부하고 있어요.,I'm meeting my Korean friend and studying.,I am studying with my Korean friend right now.
15305,거의 모든 한국 사람들은 언젠가는 휴전선이 사라지기를 바랍니다.,Almost all of the Koreans hope that the line of truce will be removed.,Almost all South Korean hope that the?Military?Demarcation?Line will be removed one day.
15310,나는 가능한 많은 시간을 가족들과 보내려고 노력해요.,I'm trying to spend as much time as possible with my family.,I'm trying to spend as much time as possible with my family.
15312,나는 지금 한국에 있는데 요즘 날씨가 너무 추워요.,"I'm in Korea now, but the weather is so cold.","I'm in Korea now, but the weather is so cold these days."
15315,나는 네가 한가할 때에만 대화하는 그런 사람이 아니야.,I'm not that kind of person that you would only speak when you are free.,I'm not the kind of person you talk to only when you are free.
15319,항상 저는 한 가지씩 준비하고 청소하고 있어요.,I have always been cleaning and preparing just one thing at once.,I always clean and prepare one thing at once.
15320,오기 전에 한국어 회화책에 있는 문장을 통째로 외워 왔어요.,I have memorized whole sentences in a Korean conversation book before coming here.,I have memorized whole sentences in a Korean conversation book before coming here.
15337,"안녕, 나는 한국에 사는 너의 후원자 Ann이라고 해.","Hello, I'm Ann who is your sponsor living in Korea.","Hello, I am Ann, your sponsor from Korea."
15375,내가 직접 한 요리를 나눠 먹기 위해 친구들을 초대했습니다.,I invited my friends to eat food together that I cooked.,I invited my friends to share the food I cooked.
15378,원래 오늘 한국 가는 비행기를 탔어야 했습니다.,"Originally, I shoud have taken the plane to go to Korea today.",I was supposed to take a flight to Korea today.
15395,나는 지난 한 주간 몸이 아파 매우 힘들었어요.,I had really tough days last week becuase I was sick very much.,I've had a hard time last week because of sickness. 
15408,한 달 동안 한 번이라도 사용한 장비에 대해 조사했습니다.,I have investigated the tools that we have used at least once for a month.,I have investigated the tools used at least once a month.
15416,나는 당신이 한국에 머무는 동안 즐겁기를 소망해요.,I hope you spend some wonderful time in Korea.,I hope you spend a wonderful time while staying in Korea.
15417,나는 당신이 한국에서 지낸 시간이 즐거웠기를 바라요.,I hope you had a great time in Korea.,I hope you had a great time during your visit to Korea.
15418,나는 네가 한국에서 유익한 시간을 보내다 돌아가기를 희망해.,I hope you have a valuable time in Korea.,I hope you have some quality time in Korea before you go back.
15428,나는 포기한 채로 그대로 버스를 타고 종점까지 갔다.,I gave it up and took a bus to the last stop.,I gave up and ended up going to the last stop on the bus.
15433,지금 나는 한 박자 쉬며 하반기를 계획하려 해요.,"Right now, I am taking a short rest and planning my second half of the year.","For now, I am going to take a short break and plan my second half of the year."
15437,내가 속상한 건 영어로 내 마음을 다 표현하지 못하는 거예요.,I feel sad because I am able to express my feeling exactly in English.,What makes me upset is that I cannot express all my feelings in English.  
15457,매일 저녁 한 시간 동안 축구를 하면 살이 빠져요.,One hour soccer play every night will help you lose your weight.,Playing soccer for an hour every evening helps you lose weight.
15458,만약 네가 한국에 온다면 좋은 곳에 데려가 줄게.,"When you come to Korea, I'll take you to some good places.",If you come to Korea I will take you to some good places.
15459,만약 다시 한국에 온다면 다른 곳을 소개해 줄게요.,"When you come to Korea again, I'll show you other places.","If you come to Korea again, I'll show you other places."
15460,"사무실을 미국, 중국, 한국, 인도네시아에 동시 오픈하는 것이 목적입니다.","The goal is to open in the US, China, Korea and Indonesia at the same time.","The goal is to open offices in the US, China, Korea, and Indonesia at the same time."
15461,만약 네가 한국에 간다면 어디를 제일 가 보고 싶니?,Where do you want to visit the most if you visit Korea?,Where do you want to go the most if you visit Korea?
15462,광주에서 한 시간 거리에 대나무로 유명한 곳이 있다.,"There is a famous place with bamboo, one hour distance from Gwangju.","There is a place renowned for bamboo, which is one hour away from Gwangju."
